year,mileage_km,power_kw,objem_motoru,price_czk
2017,128617.0,169.0,2.0,12540.0
2018,173110.0,110.0,1.4,12830.0
2014,82101.0,88.0,1.4,110000.0
2014,82101.0,88.0,1.4,110000.0
2021,49169.0,150.0,1.6,12830.0
2014,209892.0,85.0,1.7,87000.0
2021,168636.0,110.0,2.0,12830.0
2023,45050.0,96.0,1.2,12540.0
2021,46480.0,96.0,1.5,260000.0
2021,46480.0,96.0,1.5,260000.0
2013,223855.0,77.0,1.6,60000.0
2013,223855.0,77.0,1.6,60000.0
2009,188992.0,125.0,2.0,100000.0
2009,188992.0,125.0,2.0,100000.0
2016,95148.0,96.0,1.2,104000.0
2019,60386.0,132.0,2.0,110000.0
2019,60386.0,132.0,2.0,110000.0
2011,156348.0,118.0,2.0,500000.0
2011,156348.0,118.0,2.0,500000.0
2009,247215.0,125.0,2.2,250000.0
2009,247215.0,125.0,2.2,250000.0
2014,98469.0,85.0,1.2,100000.0
2014,98469.0,85.0,1.2,100000.0
2014,152498.0,110.0,2.2,400000.0
2014,152498.0,110.0,2.2,400000.0
2016,47069.0,85.0,1.2,550000.0
2016,47069.0,85.0,1.2,550000.0
2018,106612.0,154.0,2.0,400000.0
2018,106612.0,154.0,2.0,400000.0
2013,197189.0,180.0,3.0,860000.0
2013,197189.0,180.0,3.0,860000.0
2012,264621.0,105.0,2.0,700000.0
2012,264621.0,105.0,2.0,700000.0
2012,151580.0,176.0,3.0,910000.0
2012,151580.0,176.0,3.0,910000.0
2007,198024.0,85.0,1.9,200000.0
2007,198024.0,85.0,1.9,200000.0
2017,158153.0,88.0,1.5,700000.0
2017,158153.0,88.0,1.5,700000.0
2015,167721.0,103.0,2.0,600000.0
2015,167721.0,103.0,2.0,600000.0
2013,123005.0,77.0,1.6,300000.0
2013,123005.0,77.0,1.6,300000.0
2019,129183.0,225.0,3.0,1700000.0
2019,129183.0,225.0,3.0,1700000.0
2014,131640.0,100.0,1.6,550000.0
2014,131640.0,100.0,1.6,550000.0
2010,156676.0,77.0,1.2,110000.0
2010,156676.0,77.0,1.2,110000.0
2020,38360.0,66.0,1.0,710000.0
2020,38360.0,66.0,1.0,710000.0
2016,165258.0,110.0,1.4,370000.0
2016,165258.0,110.0,1.4,370000.0
2007,148245.0,110.0,2.0,550000.0
2007,148245.0,110.0,2.0,550000.0
2013,71869.0,103.0,1.4,550000.0
2013,71869.0,103.0,1.4,550000.0
2013,134363.0,135.0,2.0,700000.0
2013,134363.0,135.0,2.0,700000.0
2022,109195.0,96.0,1.5,850000.0
2022,109195.0,96.0,1.5,850000.0
2011,149625.0,77.0,1.6,300000.0
2011,149625.0,77.0,1.6,300000.0
2020,86134.0,100.0,1.6,900000.0
2020,86134.0,100.0,1.6,900000.0
2013,121557.0,77.0,1.6,360000.0
2013,121557.0,77.0,1.6,360000.0
2018,154136.0,103.0,1.0,810000.0
2018,154136.0,103.0,1.0,810000.0
2013,121676.0,105.0,2.0,700000.0
2013,121676.0,105.0,2.0,700000.0
2013,132834.0,135.0,2.0,850000.0
2013,132834.0,135.0,2.0,850000.0
2015,121684.0,85.0,1.2,650000.0
2015,121684.0,85.0,1.2,650000.0
2014,150257.0,88.0,1.6,800000.0
2014,150257.0,88.0,1.6,800000.0
2024,9832.0,142.0,2.0,3700000.0
2024,9832.0,142.0,2.0,3700000.0
2013,84353.0,77.0,1.6,100000.0
2013,84353.0,77.0,1.6,100000.0
2003,74255.0,170.0,3.0,400000.0
2003,74255.0,170.0,3.0,400000.0
2012,196612.0,100.0,1.7,490000.0
2012,196612.0,100.0,1.7,490000.0
2017,66359.0,55.0,1.4,800000.0
2017,66359.0,55.0,1.4,800000.0
2010,39462.0,323.0,4.7,400000.0
2010,39462.0,323.0,4.7,400000.0
2016,85476.0,85.0,1.7,870000.0
2016,85476.0,85.0,1.7,870000.0
2016,247792.0,81.0,1.2,430000.0
2016,247792.0,81.0,1.2,430000.0
2016,167714.0,140.0,2.0,410000.0
2016,167714.0,140.0,2.0,410000.0
2013,108558.0,103.0,1.4,610000.0
2013,108558.0,103.0,1.4,610000.0
2015,37627.0,280.0,3.0,1110000.0
2015,37627.0,280.0,3.0,1110000.0
2009,253716.0,77.0,1.6,360000.0
2009,253716.0,77.0,1.6,360000.0
2012,153992.0,110.0,2.0,220000.0
2012,153992.0,110.0,2.0,220000.0
2011,211388.0,70.0,1.6,340000.0
2011,211388.0,70.0,1.6,340000.0
2021,111162.0,118.0,1.6,950000.0
2021,111162.0,118.0,1.6,950000.0
2014,89033.0,63.0,1.2,650000.0
2014,89033.0,63.0,1.2,650000.0
2012,134227.0,103.0,2.0,500000.0
2012,134227.0,103.0,2.0,500000.0
2022,50740.0,88.0,1.0,720000.0
2022,50740.0,88.0,1.0,720000.0
2009,39228.0,92.0,1.4,770000.0
2009,39228.0,92.0,1.4,770000.0
2015,136748.0,88.0,1.6,550000.0
2015,136748.0,88.0,1.6,550000.0
2012,106757.0,85.0,1.7,510000.0
2012,106757.0,85.0,1.7,510000.0
2021,61288.0,96.0,1.2,650000.0
2021,61288.0,96.0,1.2,650000.0
2016,101826.0,110.0,1.4,810000.0
2016,101826.0,110.0,1.4,810000.0
2025,8241.0,110.0,2.0,2189000.0
